Generated by http://statistics.gov.scot,2022-08-01T11:46:37+00:00,
http://statistics.gov.scot/data/scottish-index-of-multiple-deprivation,Scottish Index of Multiple Deprivation 2020,
measure type,Vigintile,
SIMD Domain,Access To Services,
Measure (cell values): ,Vigintile(Vigintile),
,,
,,
refArea,Reference Area,2020
http://statistics.gov.scot/id/statistical-geography/S01009308,Abbey Parks North,15
http://statistics.gov.scot/id/statistical-geography/S01009309,Abbey Parks South and Brucefield North West,18
http://statistics.gov.scot/id/statistical-geography/S01008686,Abbeyhill - 01,13
http://statistics.gov.scot/id/statistical-geography/S01008687,Abbeyhill - 02,7
http://statistics.gov.scot/id/statistical-geography/S01008688,Abbeyhill - 03,10
http://statistics.gov.scot/id/statistical-geography/S01009340,Abbeyview Central,13
http://statistics.gov.scot/id/statistical-geography/S01009338,Abbeyview East,16
http://statistics.gov.scot/id/statistical-geography/S01009345,Abbeyview Linburn,10
http://statistics.gov.scot/id/statistical-geography/S01009339,Abbeyview North,14
http://statistics.gov.scot/id/statistical-geography/S01009344,Abbeyview South East,14
http://statistics.gov.scot/id/statistical-geography/S01009341,Abbeyview West,11
http://statistics.gov.scot/id/statistical-geography/S01007027,Aberchirder and Whitehills - 01,7
http://statistics.gov.scot/id/statistical-geography/S01007028,Aberchirder and Whitehills - 02,2
http://statistics.gov.scot/id/statistical-geography/S01007029,Aberchirder and Whitehills - 03,1
http://statistics.gov.scot/id/statistical-geography/S01007030,Aberchirder and Whitehills - 04,2
http://statistics.gov.scot/id/statistical-geography/S01007031,Aberchirder and Whitehills - 05,2
http://statistics.gov.scot/id/statistical-geography/S01009454,Aberdour,4
http://statistics.gov.scot/id/statistical-geography/S01009636,Aberhill,14
http://statistics.gov.scot/id/statistical-geography/S01011871,Aberuthven and Almondbank - 01,2
http://statistics.gov.scot/id/statistical-geography/S01011872,Aberuthven and Almondbank - 02,1
http://statistics.gov.scot/id/statistical-geography/S01011873,Aberuthven and Almondbank - 03,2
http://statistics.gov.scot/id/statistical-geography/S01011874,Aberuthven and Almondbank - 04,5
http://statistics.gov.scot/id/statistical-geography/S01011875,Aberuthven and Almondbank - 05,3
http://statistics.gov.scot/id/statistical-geography/S01006794,Aboyne and South Deeside - 01,9
http://statistics.gov.scot/id/statistical-geography/S01006795,Aboyne and South Deeside - 02,14
http://statistics.gov.scot/id/statistical-geography/S01006796,Aboyne and South Deeside - 03,3
http://statistics.gov.scot/id/statistical-geography/S01006797,Aboyne and South Deeside - 04,2
http://statistics.gov.scot/id/statistical-geography/S01006798,Aboyne and South Deeside - 05,1
http://statistics.gov.scot/id/statistical-geography/S01006799,Aboyne and South Deeside - 06,14
http://statistics.gov.scot/id/statistical-geography/S01006800,Aboyne and South Deeside - 07,2
http://statistics.gov.scot/id/statistical-geography/S01011760,Abronhill North - 01,10
http://statistics.gov.scot/id/statistical-geography/S01011761,Abronhill North - 02,19
http://statistics.gov.scot/id/statistical-geography/S01011762,Abronhill North - 03,18
http://statistics.gov.scot/id/statistical-geography/S01011763,Abronhill North - 04,15
http://statistics.gov.scot/id/statistical-geography/S01011764,Abronhill North - 05,10
http://statistics.gov.scot/id/statistical-geography/S01011765,Abronhill North - 06,11
http://statistics.gov.scot/id/statistical-geography/S01011755,Abronhill South - 01,10
http://statistics.gov.scot/id/statistical-geography/S01011756,Abronhill South - 02,12
http://statistics.gov.scot/id/statistical-geography/S01011757,Abronhill South - 03,11
http://statistics.gov.scot/id/statistical-geography/S01011758,Abronhill South - 04,6
http://statistics.gov.scot/id/statistical-geography/S01011759,Abronhill South - 05,7
http://statistics.gov.scot/id/statistical-geography/S01009372,Admiralty Central,16
http://statistics.gov.scot/id/statistical-geography/S01009367,Admiralty North,17
http://statistics.gov.scot/id/statistical-geography/S01009371,Admiralty North East,14
http://statistics.gov.scot/id/statistical-geography/S01009376,Admiralty South,11
http://statistics.gov.scot/id/statistical-geography/S01009375,Admiralty South East,18
http://statistics.gov.scot/id/statistical-geography/S01009374,Admiralty South West,8
http://statistics.gov.scot/id/statistical-geography/S01011663,Airdrie North - 01,6
http://statistics.gov.scot/id/statistical-geography/S01011664,Airdrie North - 02,8
http://statistics.gov.scot/id/statistical-geography/S01011665,Airdrie North - 03,16
http://statistics.gov.scot/id/statistical-geography/S01011666,Airdrie North - 04,13
http://statistics.gov.scot/id/statistical-geography/S01011667,Airdrie North - 05,15
http://statistics.gov.scot/id/statistical-geography/S01011668,Airdrie North - 06,9
http://statistics.gov.scot/id/statistical-geography/S01010239,Alexandra Parade - 01,20
http://statistics.gov.scot/id/statistical-geography/S01010240,Alexandra Parade - 02,20
http://statistics.gov.scot/id/statistical-geography/S01010241,Alexandra Parade - 03,13
http://statistics.gov.scot/id/statistical-geography/S01013223,Alexandria - 01,19
http://statistics.gov.scot/id/statistical-geography/S01013224,Alexandria - 02,8
http://statistics.gov.scot/id/statistical-geography/S01013225,Alexandria - 03,6
http://statistics.gov.scot/id/statistical-geography/S01013226,Alexandria - 04,7
http://statistics.gov.scot/id/statistical-geography/S01013227,Alexandria - 05,12
http://statistics.gov.scot/id/statistical-geography/S01011426,Allanton - Newmains Rural - 01,5
http://statistics.gov.scot/id/statistical-geography/S01011427,Allanton - Newmains Rural - 02,7
http://statistics.gov.scot/id/statistical-geography/S01011428,Allanton - Newmains Rural - 03,6
http://statistics.gov.scot/id/statistical-geography/S01011429,Allanton - Newmains Rural - 04,2
http://statistics.gov.scot/id/statistical-geography/S01007467,Alloa North - 01,10
http://statistics.gov.scot/id/statistical-geography/S01007468,Alloa North - 02,4
http://statistics.gov.scot/id/statistical-geography/S01007469,Alloa North - 03,4
http://statistics.gov.scot/id/statistical-geography/S01007470,Alloa North - 04,8
http://statistics.gov.scot/id/statistical-geography/S01007471,Alloa North - 05,6
http://statistics.gov.scot/id/statistical-geography/S01007472,Alloa North - 06,7
http://statistics.gov.scot/id/statistical-geography/S01007473,Alloa North - 07,6
http://statistics.gov.scot/id/statistical-geography/S01007474,Alloa North - 08,3
http://statistics.gov.scot/id/statistical-geography/S01007475,Alloa North - 09,5
http://statistics.gov.scot/id/statistical-geography/S01007461,Alloa South and East - 01,10
http://statistics.gov.scot/id/statistical-geography/S01007462,Alloa South and East - 02,12
http://statistics.gov.scot/id/statistical-geography/S01007463,Alloa South and East - 03,8
http://statistics.gov.scot/id/statistical-geography/S01007464,Alloa South and East - 04,10
http://statistics.gov.scot/id/statistical-geography/S01007465,Alloa South and East - 05,6
http://statistics.gov.scot/id/statistical-geography/S01007466,Alloa South and East - 06,19
http://statistics.gov.scot/id/statistical-geography/S01007476,Alloa West - 01,5
http://statistics.gov.scot/id/statistical-geography/S01007477,Alloa West - 02,13
http://statistics.gov.scot/id/statistical-geography/S01007478,Alloa West - 03,10
http://statistics.gov.scot/id/statistical-geography/S01007479,Alloa West - 04,6
http://statistics.gov.scot/id/statistical-geography/S01007480,Alloa West - 05,5
http://statistics.gov.scot/id/statistical-geography/S01012451,Alloway and Doonfoot - 01,8
http://statistics.gov.scot/id/statistical-geography/S01012452,Alloway and Doonfoot - 02,2
http://statistics.gov.scot/id/statistical-geography/S01012453,Alloway and Doonfoot - 03,4
http://statistics.gov.scot/id/statistical-geography/S01012454,Alloway and Doonfoot - 04,4
http://statistics.gov.scot/id/statistical-geography/S01012455,Alloway and Doonfoot - 05,4
http://statistics.gov.scot/id/statistical-geography/S01012456,Alloway and Doonfoot - 06,7
http://statistics.gov.scot/id/statistical-geography/S01012457,Alloway and Doonfoot - 07,3
http://statistics.gov.scot/id/statistical-geography/S01012458,Alloway and Doonfoot - 08,10
http://statistics.gov.scot/id/statistical-geography/S01010732,Alness - 01,6
http://statistics.gov.scot/id/statistical-geography/S01010733,Alness - 02,14
http://statistics.gov.scot/id/statistical-geography/S01010734,Alness - 03,8
http://statistics.gov.scot/id/statistical-geography/S01010735,Alness - 04,9
http://statistics.gov.scot/id/statistical-geography/S01010736,Alness - 05,10
http://statistics.gov.scot/id/statistical-geography/S01010737,Alness - 06,16
http://statistics.gov.scot/id/statistical-geography/S01010738,Alness - 07,12
http://statistics.gov.scot/id/statistical-geography/S01010739,Alness - 08,12
http://statistics.gov.scot/id/statistical-geography/S01007999,Altonhill North and Onthank - 01,4
http://statistics.gov.scot/id/statistical-geography/S01008000,Altonhill North and Onthank - 02,5
http://statistics.gov.scot/id/statistical-geography/S01008001,Altonhill North and Onthank - 03,5
http://statistics.gov.scot/id/statistical-geography/S01008002,Altonhill North and Onthank - 04,7
http://statistics.gov.scot/id/statistical-geography/S01008003,Altonhill North and Onthank - 05,5
http://statistics.gov.scot/id/statistical-geography/S01008004,Altonhill North and Onthank - 06,4
http://statistics.gov.scot/id/statistical-geography/S01008005,"Altonhill South, Longpark and Hillhead - 01",3
http://statistics.gov.scot/id/statistical-geography/S01008006,"Altonhill South, Longpark and Hillhead - 02",9
