"IntZone","IntZoneName","CPP","Attainment","employment_rate","income_rate","access_deprived_rate"
"S02001236","Culter","Aberdeen City",5.9,5.8,7,11.2
"S02001237","Cults, Bieldside and Milltimber West","Aberdeen City",6.2,2.6,2,56.6
"S02001238","Cults, Bieldside and Milltimber East","Aberdeen City",6.4,2.8,3,38
"S02001239","Garthdee","Aberdeen City",4.9,8.5,13,0
"S02001240","Braeside, Mannofield, Broomhill and Seafield East","Aberdeen City",5.8,2.8,3,0
"S02001241","Braeside, Mannofield, Broomhill and Seafield South","Aberdeen City",6.1,2.5,2,0
"S02001242","Braeside, Mannofield, Broomhill and Seafield North","Aberdeen City",6,1.9,2,0
"S02001243","Hazlehead","Aberdeen City",6,5.3,5,24
"S02001244","Summerhill","Aberdeen City",5.3,10.8,12,0
"S02001245","Midstocket","Aberdeen City",6,3.2,3,0
"S02001246","Rosemount","Aberdeen City",5.8,6.2,7,0
"S02001247","West End North","Aberdeen City",6.4,1.3,2,0
"S02001248","West End South","Aberdeen City",6.3,2.8,3,0
"S02001249","City Centre West","Aberdeen City",5.2,5.2,7,0
"S02001250","City Centre East","Aberdeen City",4.4,7.8,9,0
"S02001251","Ferryhill North","Aberdeen City",5.5,3.5,4,0
"S02001252","Ferryhill South","Aberdeen City",5.5,4.7,5,0
"S02001253","Kincorth, Leggart and Nigg North","Aberdeen City",5.2,10.6,13,0
"S02001254","Kincorth, Leggart and Nigg South","Aberdeen City",5.2,6.4,8,33.7
"S02001255","Cove South","Aberdeen City",5.6,2.7,3,0
"S02001256","Cove North","Aberdeen City",5.4,5.5,5,0
"S02001257","Torry West","Aberdeen City",4.9,12.8,16,0
"S02001258","Torry East","Aberdeen City",4.7,16.2,22,0
"S02001259","Hanover South","Aberdeen City",5.2,9.4,12,0
"S02001260","Hanover North","Aberdeen City",5.1,6.9,7,0
"S02001261","George Street","Aberdeen City",5.3,8.5,10,0
"S02001262","Ashgrove","Aberdeen City",5.5,9.7,11,0
"S02001263","Froghall, Powis and Sunnybank","Aberdeen City",4.9,5.4,8,0
"S02001264","Seaton","Aberdeen City",5,11.5,15,0
"S02001265","Old Aberdeen","Aberdeen City",4.9,7,10,0
"S02001266","Tillydrone","Aberdeen City",5.2,14.4,18,0
"S02001267","Woodside","Aberdeen City",4.8,16.7,22,0
"S02001268","Hilton","Aberdeen City",5.6,6.2,8,0
"S02001269","Stockethill","Aberdeen City",5.2,13,15,0
"S02001270","Mastrick","Aberdeen City",5,13.2,17,0
"S02001271","Sheddocksley","Aberdeen City",5.1,12,14,16.5
"S02001272","Cummings Park","Aberdeen City",4.9,10.9,16,0
"S02001273","Northfield","Aberdeen City",4.9,13,17,0
"S02001274","Heathryfold and Middlefield","Aberdeen City",5,13.5,19,0
"S02001275","Kingswells","Aberdeen City",6,2.6,3,19.3
"S02001276","Bucksburn South","Aberdeen City",5.1,6.7,7,0
"S02001277","Bucksburn North","Aberdeen City",5.4,5.6,8,0
"S02001278","Dyce","Aberdeen City",5.4,5.5,7,15.4
"S02001279","Danestone","Aberdeen City",5.8,1.9,2,0
"S02001280","Oldmachar West","Aberdeen City",5.8,3.3,3,0
"S02001281","Oldmachar East","Aberdeen City",5.8,3,3,0
"S02001282","Balgownie and Donmouth West","Aberdeen City",5.8,5.9,8,0
"S02001283","Balgownie and Donmouth East","Aberdeen City",5.9,3.9,4,0
"S02001284","Denmore","Aberdeen City",6,3.6,4,59.7
"S02001285","East Cairngorms","Aberdeenshire",5.7,4.8,5,33
"S02001286","Aboyne and South Deeside","Aberdeenshire",5.9,4.2,5,57.9
"S02001287","Mearns and Laurencekirk","Aberdeenshire",5.6,4.2,6,17.4
"S02001288","Mearns South and Benholm","Aberdeenshire",5.6,5.2,7,100
"S02001289","Mearns North and Inverbervie","Aberdeenshire",5.8,4.2,6,48.6
"S02001290","Fetteresso, Netherley and Catter","Aberdeenshire",6.1,1.9,2,100
"S02001291","Stonehaven South","Aberdeenshire",6,6.7,7,0
"S02001292","Stonehaven North","Aberdeenshire",5.9,4.3,5,0
"S02001293","Newtonhill","Aberdeenshire",6,2.6,3,100
"S02001294","Portlethen","Aberdeenshire",5.8,3.2,2,0
"S02001295","Banchory-Devenick and Findon","Aberdeenshire",5.5,4,4,37.5
"S02001296","Dunecht, Durris and Drumoak","Aberdeenshire",5.9,2.3,3,100
"S02001297","Banchory East","Aberdeenshire",6,3.3,4,0
"S02001298","Banchory West","Aberdeenshire",6.3,3.2,4,0
"S02001299","Crathes and Torphins","Aberdeenshire",5.9,2.5,3,60.3
"S02001300","Cromar and Kildrummy","Aberdeenshire",5.7,3.8,5,82.6
"S02001301","Howe of Alford","Aberdeenshire",5.8,3.8,4,47.8
"S02001302","Kemnay","Aberdeenshire",5.3,5.8,9,0
"S02001303","Inverurie North","Aberdeenshire",5.5,5.7,6,0
"S02001304","Inverurie South","Aberdeenshire",5.4,8.8,10,0
"S02001305","Durno-Chapel of Garioch","Aberdeenshire",5.7,1.9,3,87.3
"S02001306","Kintore","Aberdeenshire",5.8,3,3,21
"S02001307","Blackburn","Aberdeenshire",5.8,3,3,100
"S02001308","Westhill North and South","Aberdeenshire",5.9,2.2,2,56.1
"S02001309","Westhill Central","Aberdeenshire",5.7,2.5,2,0
"S02001310","Garlogie and Elrick","Aberdeenshire",5.9,2.7,3,0
"S02001311","Newmachar and Fintray","Aberdeenshire",5.5,3.1,4,100
"S02001312","Balmedie and Potterton","Aberdeenshire",5.5,2.8,3,100
"S02001313","Ellon East","Aberdeenshire",5.7,3.9,4,0
"S02001314","Ellon West","Aberdeenshire",5.6,4.8,6,0
"S02001315","Ythanside","Aberdeenshire",5.9,2.7,4,100
"S02001316","Ythsie","Aberdeenshire",5.7,3.4,4,73
"S02001317","Barrahill","Aberdeenshire",5.7,3.1,4,21.6
"S02001318","Fyvie-Rothie","Aberdeenshire",5.5,4.5,5,89.2
"S02001319","Insch, Oyne and Ythanwells","Aberdeenshire",5.6,4.2,4,59.3
"S02001320","Clashindarroch","Aberdeenshire",5.4,4.3,5,100
"S02001321","Huntly","Aberdeenshire",5.3,8.9,11,0
"S02001322","Auchterless and Monquhitter","Aberdeenshire",5.4,3.6,4,100
"S02001323","Turriff","Aberdeenshire",5.3,6.8,9,0
"S02001324","Portsoy, Fordyce and Cornhill","Aberdeenshire",5.1,7.7,9,45.3
"S02001325","Aberchirder and Whitehills","Aberdeenshire",5.4,8.4,8,73.1
"S02001326","Banff","Aberdeenshire",5.4,11.5,13,0
"S02001327","Macduff","Aberdeenshire",5.2,10.2,12,0
"S02001328","Gardenstown and King Edward","Aberdeenshire",5.5,6.4,8,81.8
"S02001329","New Pitsligo","Aberdeenshire",5.5,6.9,9,68.4
"S02001330","Deer and Mormond","Aberdeenshire",5.5,5.5,7,52.1
"S02001331","Mintlaw","Aberdeenshire",5.5,8.5,11,0
"S02001332","Auchnagatt","Aberdeenshire",5.5,4.5,4,77.6
"S02001333","Cruden","Aberdeenshire",5.4,7,8,26.2
"S02001334","Peterhead Links","Aberdeenshire",5.3,5.2,7,0
"S02001335","Peterhead Bay","Aberdeenshire",5.4,11.5,14,0
"S02001336","Peterhead Harbour","Aberdeenshire",4.9,14.3,18,0
"S02001337","Peterhead Ugieside","Aberdeenshire",5.4,5.6,8,12.2
"S02001338","Longside and Rattray","Aberdeenshire",5.3,4.5,5,100
"S02001339","Rosehearty and Strathbeg","Aberdeenshire",5.4,7,9,46
"S02001340","Fraserburgh Smiddyhill","Aberdeenshire",5.5,4.1,4,26.4
"S02001341","Fraserburgh Lochpots","Aberdeenshire",4.7,13.6,17,0
"S02001342","Fraserburgh Central-Academy","Aberdeenshire",5.4,9.3,13,0
"S02001343","Fraserburgh Harbour and Broadsea","Aberdeenshire",4.9,15.5,21,0
"S02001344","South Angus","Angus",5.8,3.9,4,63.2
"S02001345","Monikie","Angus",5.7,3.5,3,78.2
"S02001346","Monifieth West","Angus",5.7,3.7,5,0
"S02001347","Monifieth East","Angus",5.9,4.7,5,0
"S02001348","Carnoustie West","Angus",5.4,8.3,10,0
"S02001349","Carnoustie East","Angus",5.6,4.5,5,0
"S02001350","Arbroath Landward","Angus",6,3.1,5,100
"S02001351","Arbroath Kirkton","Angus",5.6,8.7,11,32
"S02001352","Arbroath Keptie","Angus",5.8,8.3,10,0
"S02001353","Arbroath Harbour","Angus",5.1,17.2,22,0
"S02001354","Arbroath Cliffburn","Angus",5.2,12.2,17,0
"S02001355","Arbroath Warddykes","Angus",5.2,14.3,20,0
"S02001356","Lunan","Angus",5.4,6.3,8,71.5
"S02001357","Montrose South","Angus",5.4,12.1,15,0
"S02001358","Montrose North","Angus",5.5,10.1,12,0
"S02001359","Hillside","Angus",5.7,5,7,36.5
"S02001360","Friockheim","Angus",5.7,6,6,71.3
"S02001361","Brechin East","Angus",5.1,15.2,18,0
"S02001362","Brechin West","Angus",5.5,6.6,9,0
"S02001363","Letham and Glamis","Angus",5.7,5.5,7,100
"S02001364","Forfar East","Angus",5.4,6.3,7,0
"S02001365","Forfar Central","Angus",5.1,12.9,17,0
"S02001366","Forfar West","Angus",5.2,10.5,12,0
"S02001367","Kirriemuir Landward","Angus",5.8,6.4,7,82.8
"S02001368","Kirriemuir","Angus",5.6,9.1,11,0
"S02001369","Angus Glens","Angus",5.7,4.4,6,72.6
"S02001370","Mull, Iona, Coll and Tiree","Argyll and Bute",5.9,4.8,6,73.1
"S02001371","Oban South","Argyll and Bute",5.4,8.8,11,12.6
"S02001372","Oban North","Argyll and Bute",5.4,6.3,7,0
"S02001373","Benderloch Trail","Argyll and Bute",5.6,4.8,6,89.1
"S02001374","Loch Awe","Argyll and Bute",5.5,4.4,7,100
"S02001375","Mid Argyll","Argyll and Bute",5.4,5,7,73.9
"S02001376","Greater Lochgilphead","Argyll and Bute",5.5,9.9,11,15.9
"S02001377","Knapdale","Argyll and Bute",5.6,5.6,7,53.9
"S02001378","Whisky Isles","Argyll and Bute",5.5,6.2,8,57.6
"S02001379","Kintyre Trail","Argyll and Bute",5.7,7.1,9,100
"S02001380","Campbeltown","Argyll and Bute",5.4,12.3,16,0
"S02001381","Bute","Argyll and Bute",5.8,7.1,8,24.3
"S02001382","Rothesay Town","Argyll and Bute",5.2,18.6,24,0
"S02001383","Cowal South","Argyll and Bute",5.5,7.1,7,75.2
"S02001384","Cowal North","Argyll and Bute",6,6.7,8,100
"S02001385","Hunter's Quay","Argyll and Bute",5.4,11.4,14,0
"S02001386","Dunoon","Argyll and Bute",5.5,16.2,18,0
"S02001387","Garelochhead","Argyll and Bute",5.7,4.3,6,56.9
"S02001388","Helensburgh West and Rhu","Argyll and Bute",5.8,4.9,5,46.6
"S02001389","Helensburgh North","Argyll and Bute",6.2,3.4,5,0
"S02001390","Helensburgh Centre","Argyll and Bute",5.7,11.3,13,0
"S02001391","Helensburgh East","Argyll and Bute",5.6,10,12,0
"S02001392","Lomond Shore","Argyll and Bute",5.9,3.9,5,100
"S02001393","Tullibody South","Clackmannanshire",5.3,10.4,13,16.4
"S02001394","Tullibody North and Glenochil","Clackmannanshire",5.1,8.5,15,0
"S02001395","Menstrie","Clackmannanshire",5.5,5.3,6,0
"S02001396","Alva","Clackmannanshire",5.6,11.3,13,0
"S02001397","Fishcross, Devon Village and Coalsnaughton","Clackmannanshire",5.1,12.5,14,0
"S02001398","Tillicoultry","Clackmannanshire",5.7,11.6,14,0
"S02001399","Dollar and Muckhart","Clackmannanshire",6,3.3,4,14.4
"S02001400","Clackmannan, Kennet and Forestmill","Clackmannanshire",5.3,9.8,11,0
"S02001401","Sauchie","Clackmannanshire",5.3,14.7,17,0
"S02001402","Alloa South and East","Clackmannanshire",4.7,25.8,34,0
"S02001403","Alloa North","Clackmannanshire",5.4,11,13,8.3
